player_name,primary_tour,dg_rank,dg_change,dg_index,owgr_rank,owgr_change,dg_points_rank,dg_points_change
"Scheffler, Scottie",PGA Tour,1,0,2.711,1,0,1,0
"McIlroy, Rory",PGA Tour,2,0,2.062,2,0,2,0
"Fitzpatrick, Matt",PGA Tour,3,1,1.999,3,1,3,0
"Fleetwood, Tommy",PGA Tour,4,1,1.848,9,0,10,-1
"Rahm, Jon",LIV Golf,5,-2,1.842,11,0,7,-1
"Burns, Sam",PGA Tour,6,0,1.742,18,-1,17,0
"Clark, Wyndham",PGA Tour,7,0,1.662,8,0,8,0
"Morikawa, Collin",PGA Tour,8,0,1.601,7,-1,6,1
"Young, Cameron",PGA Tour,9,0,1.587,4,-1,4,0
"Kim, Si Woo",PGA Tour,10,4,1.583,21,1,22,0
"Henley, Russell",PGA Tour,11,1,1.517,5,0,5,0
"Gotterup, Chris",PGA Tour,12,4,1.511,6,1,9,1
"Aberg, Ludvig",PGA Tour,13,-2,1.484,20,-1,18,0
"Hovland, Viktor",PGA Tour,14,3,1.444,12,1,13,1
"Schauffele, Xander",PGA Tour,15,-5,1.435,14,0,14,-1
"Cantlay, Patrick",PGA Tour,16,-3,1.427,38,-2,39,-4
"MacIntyre, Robert",PGA Tour,17,4,1.382,15,5,19,2
"Spaun, J.J.",PGA Tour,18,-3,1.358,13,-1,12,0
"Griffin, Ben",PGA Tour,19,0,1.332,16,-1,16,0
"McNealy, Maverick",PGA Tour,20,0,1.263,39,-2,41,-2
"Thomas, Justin",PGA Tour,21,-3,1.263,19,-1,20,-1
"Rose, Justin",PGA Tour,22,1,1.19,10,0,11,0
"Hatton, Tyrrell",LIV Golf,23,6,1.187,22,-1,25,2
"DeChambeau, Bryson",LIV Golf,24,1,1.184,37,-2,21,-1
"Bhatia, Akshay",PGA Tour,25,1,1.183,29,-3,23,1
"English, Harris",PGA Tour,26,-4,1.166,32,-3,30,-2
"Lee, Min Woo",PGA Tour,27,17,1.108,24,15,27,15
"Fitzpatrick, Alex",PGA Tour,28,-4,1.106,65,-3,47,-1
"Kitayama, Kurt",PGA Tour,29,-1,1.086,36,-3,40,0
"Gerard, Ryan",PGA Tour,30,3,1.084,28,0,35,-2
