player_name,primary_tour,dg_rank,dg_change,dg_index,owgr_rank,owgr_change,dg_points_rank,dg_points_change
"Scheffler, Scottie",PGA Tour,1,0,2.859,1,0,1,0
"McIlroy, Rory",PGA Tour,2,0,2.113,2,0,2,0
"Rahm, Jon",LIV Golf,3,1,2.086,8,4,6,0
"Young, Cameron",PGA Tour,4,-1,1.837,3,0,3,0
"Fleetwood, Tommy",PGA Tour,5,4,1.82,7,1,7,2
"Schauffele, Xander",PGA Tour,6,1,1.73,12,-2,11,0
"Aberg, Ludvig",PGA Tour,7,-2,1.72,14,1,14,0
"Henley, Russell",PGA Tour,8,0,1.72,5,0,5,0
"Fitzpatrick, Matt",PGA Tour,9,-3,1.72,4,0,4,0
"Kim, Si Woo",PGA Tour,10,0,1.705,18,1,19,0
"Burns, Sam",PGA Tour,11,3,1.6,29,5,29,7
"Cantlay, Patrick",PGA Tour,12,-1,1.589,34,-1,33,-1
"Spaun, J.J.",PGA Tour,13,0,1.482,9,0,10,0
"McNealy, Maverick",PGA Tour,14,2,1.469,35,0,35,2
"Morikawa, Collin",PGA Tour,15,-3,1.43,10,-3,9,-2
"Noren, Alex",PGA Tour,16,8,1.384,20,1,22,2
"Gotterup, Chris",PGA Tour,17,-2,1.38,11,0,12,0
"English, Harris",PGA Tour,18,4,1.342,22,1,21,0
"Thomas, Justin",PGA Tour,19,7,1.266,16,0,17,0
"DeChambeau, Bryson",LIV Golf,20,-1,1.264,30,-2,16,0
"Scott, Adam",PGA Tour,21,9,1.264,50,0,48,-2
"Rose, Justin",PGA Tour,22,9,1.259,6,0,8,0
"Knapp, Jake",PGA Tour,23,-3,1.257,42,-2,40,-2
"Clark, Wyndham",PGA Tour,24,14,1.254,37,8,43,7
"Griffin, Ben",PGA Tour,25,-7,1.211,15,-1,15,0
"Kitayama, Kurt",PGA Tour,26,3,1.2,31,-1,39,-4
"Lowry, Shane",PGA Tour,27,5,1.188,43,-2,44,-2
"Reitan, Kristoffer",PGA Tour,28,11,1.184,24,1,24,2
"Gerard, Ryan",PGA Tour,29,17,1.184,23,13,27,14
"Lee, Min Woo",PGA Tour,30,-9,1.129,36,-5,36,-5
"Hojgaard, Nicolai",PGA Tour,31,-8,1.116,32,-3,32,-3
"Hovland, Viktor",PGA Tour,32,1,1.098,33,-1,38,-4
"Matsuyama, Hideki",PGA Tour,33,-8,1.081,25,-5,25,-2
"MacIntyre, Robert",PGA Tour,34,-7,1.079,17,0,18,0
"Reed, Patrick",DP World Tour,35,0,1.074,26,-4,31,-3
"Cole, Eric",PGA Tour,36,11,1.072,63,6,59,10
"Smalley, Alex",PGA Tour,37,-20,1.04,40,-2,34,-4
"Rai, Aaron",PGA Tour,38,2,1.034,13,0,13,0
"Hatton, Tyrrell",LIV Golf,39,15,1.005,21,6,28,5
"Bradley, Keegan",PGA Tour,40,3,1.001,38,-1,41,-1
"Spieth, Jordan",PGA Tour,41,-5,0.994,51,-2,51,-3
"Fitzpatrick, Alex",DP World Tour,42,19,0.967,73,15,49,8
"Bhatia, Akshay",PGA Tour,43,-9,0.956,28,-2,26,-1
"Puig, David",LIV Golf,44,5,0.944,56,4,60,1
"Taylor, Nick",PGA Tour,45,-8,0.927,62,-2,65,-3
"Poston, J.T.",PGA Tour,46,25,0.918,39,55,37,60
"Hall, Harry",PGA Tour,47,3,0.883,66,-2,63,-3
"Woodland, Gary",PGA Tour,48,-6,0.875,44,-1,45,-1
"Bridgeman, Jacob",PGA Tour,49,-1,0.849,27,-3,23,-1
"Fowler, Rickie",PGA Tour,50,-22,0.844,41,-2,42,-3
"Straka, Sepp",PGA Tour,51,-10,0.831,19,-1,20,0
"Koivun, Jackson",Amateur Events,52,-1,0.83,254,-7,217,-4
"Niemann, Joaquin",LIV Golf,53,-9,0.799,79,-1,30,-3
"Cauley, Bud",PGA Tour,54,10,0.769,68,-3,67,0
"Meissner, Mac",PGA Tour,55,-10,0.765,86,-5,91,-3
"Mitchell, Keith",PGA Tour,56,-3,0.763,100,-1,111,-2
"Putnam, Andrew",PGA Tour,57,0,0.71,84,0,87,-3
"Bezuidenhout, Christiaan",PGA Tour,58,2,0.694,96,-3,94,-4
"Day, Jason",PGA Tour,59,-4,0.678,45,-1,46,-1
"Fox, Ryan",PGA Tour,60,8,0.678,60,-2,64,-1
"Detry, Thomas",LIV Golf,61,12,0.663,65,1,66,2
"McCarty, Matt",PGA Tour,62,0,0.646,52,-1,54,-2
"Koepka, Brooks",PGA Tour,63,2,0.637,109,-2,84,-2
"Harman, Brian",PGA Tour,64,-1,0.619,59,-2,70,-6
"Hillier, Daniel",DP World Tour,65,2,0.617,91,-1,98,3
"Kim, Michael",PGA Tour,66,-10,0.607,48,-1,53,-2
"McCarthy, Denny",PGA Tour,67,3,0.595,103,-1,115,-2
"Ayora, Angel",DP World Tour,68,18,0.59,108,16,121,13
"Berger, Daniel",PGA Tour,69,-11,0.586,46,-4,47,-4
"Theegala, Sahith",PGA Tour,70,4,0.585,83,-1,90,-1
"Chacarra, Eugenio",DP World Tour,71,28,0.584,87,41,106,40
"Thorbjornsen, Michael",PGA Tour,72,-3,0.577,74,-1,69,-4
"Coody, Pierceson",PGA Tour,73,-14,0.565,57,-2,58,-2
"Schaper, Jayden",DP World Tour,74,4,0.56,69,1,85,1
"Lindell, Oliver",DP World Tour,75,25,0.559,126,37,141,32
"Johnson, Dustin",LIV Golf,76,12,0.558,242,49,137,18
"Grace, Branden",LIV Golf,77,2,0.547,228,-4,118,2
"Wallace, Matt",PGA Tour,78,-6,0.538,76,-2,86,-3
"Leishman, Marc",LIV Golf,79,4,0.534,210,-2,101,5
"Ancer, Abraham",LIV Golf,80,25,0.5,210,91,104,21
"Conners, Corey",PGA Tour,81,-29,0.48,54,-1,56,-2
"Bauchou, Zach",PGA Tour,82,-2,0.476,155,-3,149,-4
"Thompson, Davis",PGA Tour,83,-2,0.473,134,1,127,-3
"Smith, Jordan",PGA Tour,84,-2,0.465,71,-3,82,-1
"Vincent, Scott",LIV Golf,85,5,0.453,149,-3,164,4
"Burmester, Dean",LIV Golf,86,-10,0.449,171,-1,81,-2
"Novak, Andrew",PGA Tour,87,-10,0.448,58,-2,50,-3
"Brennan, Michael",PGA Tour,88,-4,0.442,55,-1,97,-2
"Hoey, Rico",PGA Tour,89,-4,0.435,88,-3,102,-2
"Smith, Cameron",LIV Golf,90,16,0.425,132,19,89,7
"Brown, Blades",Korn Ferry Tour,91,0,0.399,105,0,92,1
"Greyserman, Max",PGA Tour,92,-3,0.398,67,-5,72,-2
"Pendrith, Taylor",PGA Tour,93,-6,0.373,94,-2,93,-1
"Fisk, Steven",PGA Tour,94,-2,0.366,118,-4,129,-3
"Stevens, Sam",PGA Tour,95,-20,0.364,53,-1,57,-2
"Ghim, Doug",PGA Tour,96,-1,0.353,181,-3,187,-4
"Homa, Max",PGA Tour,97,0,0.346,117,3,131,2
"Yellamaraju, Sudarshan",PGA Tour,98,-5,0.344,110,1,113,-1
"Olesen, Thorbjorn",PGA Tour,99,-1,0.344,128,-2,133,-4
"Im, Sungjae",PGA Tour,100,13,0.329,72,0,74,0
"Herbert, Lucas",LIV Golf,101,-5,0.327,89,-3,68,-2
"Hisatsune, Ryo",PGA Tour,102,-36,0.326,61,-2,61,-3
"Garcia, Sergio",LIV Golf,103,34,0.324,164,31,78,9
"McGreevy, Max",PGA Tour,104,-3,0.324,98,-1,109,-2
"Finau, Tony",PGA Tour,105,18,0.318,111,1,116,2
"Perez, Victor",LIV Golf,106,1,0.317,209,-3,173,3
"Castillo, Ricky",PGA Tour,107,-5,0.285,97,-2,108,-3
"Howell III, Charles",LIV Golf,108,3,0.284,null,0,182,4
"Jarvis, Casey",DP World Tour,109,-15,0.284,78,-2,112,-2
"Kirk, Chris",PGA Tour,110,-6,0.277,104,-1,117,-1
"Jaeger, Stephan",PGA Tour,111,-3,0.267,95,1,99,0
"Valimaki, Sami",PGA Tour,112,20,0.266,64,-1,71,2
"Hojgaard, Rasmus",PGA Tour,113,-1,0.248,75,-4,75,-3
"Kuchar, Matt",PGA Tour,114,36,0.237,171,8,180,19
"Moore, Taylor",PGA Tour,115,-1,0.235,145,1,162,-3
"Neergaard-Petersen, Rasmus",PGA Tour,116,0,0.231,82,-2,80,-2
"Kaneko, Kota",DP World Tour,117,0,0.228,101,0,142,-5
"Hughes, Mackenzie",PGA Tour,118,0,0.228,133,3,147,-3
"Schmid, Matti",PGA Tour,119,0,0.225,70,-3,62,-3
"Kim, Tom",PGA Tour,120,0,0.224,152,-2,172,-1
