player_name,primary_tour,dg_rank,dg_change,dg_index,owgr_rank,owgr_change,dg_points_rank,dg_points_change
"Scheffler, Scottie",PGA Tour,1,0,2.849,1,0,1,0
"McIlroy, Rory",PGA Tour,2,0,2.114,2,0,2,0
"Rahm, Jon",LIV Golf,3,0,2.09,8,0,6,0
"Young, Cameron",PGA Tour,4,0,1.826,3,0,3,0
"Fitzpatrick, Matt",PGA Tour,5,2,1.823,4,0,4,0
"Fleetwood, Tommy",PGA Tour,6,-1,1.818,6,1,7,0
"Schauffele, Xander",PGA Tour,7,-1,1.72,12,0,11,0
"Aberg, Ludvig",PGA Tour,8,0,1.712,13,1,13,1
"Henley, Russell",PGA Tour,9,0,1.71,5,0,5,0
"Kim, Si Woo",PGA Tour,10,0,1.697,18,0,19,0
"Cantlay, Patrick",PGA Tour,11,1,1.579,36,-2,33,0
"Burns, Sam",PGA Tour,12,-1,1.567,30,-1,30,-1
"Spaun, J.J.",PGA Tour,13,0,1.472,9,0,10,0
"McNealy, Maverick",PGA Tour,14,0,1.458,37,-2,39,-4
"Morikawa, Collin",PGA Tour,15,0,1.399,10,0,8,1
"Gotterup, Chris",PGA Tour,16,1,1.369,11,0,12,0
"English, Harris",PGA Tour,17,1,1.332,22,0,21,0
"Clark, Wyndham",PGA Tour,18,6,1.309,34,3,41,2
"DeChambeau, Bryson",LIV Golf,19,0,1.269,32,-2,16,0
"Scott, Adam",PGA Tour,20,0,1.261,49,1,49,-1
"Thomas, Justin",PGA Tour,21,0,1.255,16,0,17,0
"Knapp, Jake",PGA Tour,22,1,1.245,43,-1,40,0
"Hovland, Viktor",PGA Tour,23,10,1.24,28,5,29,9
"Griffin, Ben",PGA Tour,24,1,1.201,15,0,15,0
"Kitayama, Kurt",PGA Tour,25,1,1.189,31,0,38,1
"Lowry, Shane",PGA Tour,26,1,1.183,44,-1,45,-1
"Gerard, Ryan",PGA Tour,27,2,1.174,23,0,27,0
"Noren, Alex",PGA Tour,28,-12,1.156,20,0,23,-1
"MacIntyre, Robert",PGA Tour,29,6,1.126,17,0,18,0
"Lee, Min Woo",PGA Tour,30,0,1.122,35,1,37,-1
"Rose, Justin",PGA Tour,31,-9,1.103,7,-1,9,-1
"Reed, Patrick",DP World Tour,32,0,1.098,27,-1,32,-1
"Matsuyama, Hideki",PGA Tour,33,1,1.072,24,1,25,0
"Fitzpatrick, Alex",DP World Tour,34,7,1.031,69,4,50,-1
"Smalley, Alex",PGA Tour,35,2,1.028,42,-2,35,-1
"Reitan, Kristoffer",PGA Tour,36,-8,1.024,26,-2,24,0
"Hatton, Tyrrell",LIV Golf,37,2,1.014,21,0,28,0
"Cauley, Bud",PGA Tour,38,16,1.001,40,28,44,23
"Bradley, Keegan",PGA Tour,39,1,0.989,39,-1,42,-1
"Spieth, Jordan",PGA Tour,40,2,0.983,51,0,51,0
"Hojgaard, Nicolai",PGA Tour,41,-10,0.97,33,-1,34,-2
"Cole, Eric",PGA Tour,42,-6,0.963,64,-1,62,-3
"Puig, David",LIV Golf,43,0,0.959,57,-1,60,0
"Rai, Aaron",PGA Tour,44,-6,0.958,14,-1,14,-1
"Bhatia, Akshay",PGA Tour,45,-1,0.947,29,-1,26,0
"Bridgeman, Jacob",PGA Tour,46,4,0.944,25,2,22,1
"Poston, J.T.",PGA Tour,47,-1,0.906,38,1,36,1
"Koivun, Jackson",Amateur Events,48,-1,0.878,260,-6,220,-3
"Woodland, Gary",PGA Tour,49,0,0.862,45,-1,46,-1
"Hall, Harry",PGA Tour,50,-2,0.858,66,0,63,0
"Fowler, Rickie",PGA Tour,51,0,0.833,41,0,43,-1
"Straka, Sepp",PGA Tour,52,0,0.826,19,0,20,0
"Fox, Ryan",PGA Tour,53,6,0.811,55,5,61,3
"Niemann, Joaquin",LIV Golf,54,-1,0.808,80,-1,31,-1
"Mitchell, Keith",PGA Tour,55,1,0.791,100,0,110,1
"Taylor, Nick",PGA Tour,56,-11,0.769,63,-1,66,-1
"Detry, Thomas",LIV Golf,57,3,0.674,67,-2,67,-1
"Koepka, Brooks",PGA Tour,58,6,0.673,110,-1,84,0
"Day, Jason",PGA Tour,59,2,0.666,47,-2,47,-1
"Hillier, Daniel",DP World Tour,60,2,0.65,91,0,99,-1
"McCarty, Matt",PGA Tour,61,2,0.636,53,-1,55,-1
"Meissner, Mac",PGA Tour,62,-7,0.628,87,-1,92,-1
"Ayora, Angel",DP World Tour,63,2,0.628,111,-3,120,1
"Bezuidenhout, Christiaan",PGA Tour,64,-6,0.622,94,2,94,0
"Chacarra, Eugenio",DP World Tour,65,1,0.619,84,3,106,0
"Harman, Brian",PGA Tour,66,1,0.609,59,0,68,2
"Lindell, Oliver",DP World Tour,67,1,0.6,125,1,142,-1
"Kim, Michael",PGA Tour,68,1,0.597,50,-2,54,-1
"Schaper, Jayden",DP World Tour,69,1,0.594,70,-1,85,0
"Putnam, Andrew",PGA Tour,70,-13,0.58,85,-1,87,0
"Berger, Daniel",PGA Tour,71,1,0.576,46,0,48,-1
"Johnson, Dustin",LIV Golf,72,3,0.565,245,-3,134,3
"Theegala, Sahith",PGA Tour,73,0,0.561,83,0,90,0
"Coody, Pierceson",PGA Tour,74,3,0.554,58,-1,59,-1
"Leishman, Marc",LIV Golf,75,3,0.551,212,-2,102,-1
"Grace, Branden",LIV Golf,76,0,0.547,219,9,118,0
"Yellamaraju, Sudarshan",PGA Tour,77,23,0.514,96,14,97,16
"Thorbjornsen, Michael",PGA Tour,78,-4,0.513,76,-2,71,-2
"McCarthy, Denny",PGA Tour,79,-8,0.49,103,0,116,-1
"Wallace, Matt",PGA Tour,80,-1,0.488,79,-3,88,-2
"Vincent, Scott",LIV Golf,81,5,0.475,148,1,166,-2
"Ghim, Doug",PGA Tour,82,15,0.472,175,6,171,16
"Burmester, Dean",LIV Golf,83,-1,0.463,173,-2,80,1
"Ancer, Abraham",LIV Golf,84,-4,0.461,208,2,109,-5
"Thompson, Davis",PGA Tour,85,0,0.461,138,-4,128,-1
"Pendrith, Taylor",PGA Tour,86,7,0.443,92,2,91,2
"Homa, Max",PGA Tour,87,12,0.44,113,4,124,7
"Novak, Andrew",PGA Tour,88,-1,0.437,61,-3,52,-2
"Smith, Cameron",LIV Golf,89,-1,0.433,136,-4,86,3
"Conners, Corey",PGA Tour,90,-9,0.411,56,-2,58,-2
"Brown, Blades",Korn Ferry Tour,91,0,0.389,104,1,93,-1
"Bauchou, Zach",PGA Tour,92,-8,0.375,157,-2,149,0
"Smith, Jordan",PGA Tour,93,-10,0.356,72,-1,83,-1
"Stevens, Sam",PGA Tour,94,0,0.353,54,-1,57,0
"Kim, Tom",PGA Tour,95,27,0.35,141,11,162,10
"Finau, Tony",PGA Tour,96,11,0.349,109,2,115,1
"Herbert, Lucas",LIV Golf,97,-1,0.343,88,1,69,-1
"Hoey, Rico",PGA Tour,98,-9,0.339,89,-1,103,-1
"Greyserman, Max",PGA Tour,99,-7,0.332,68,-1,73,-1
"Im, Sungjae",PGA Tour,100,2,0.324,74,-2,75,-1
"Perez, Victor",LIV Golf,101,2,0.322,210,-1,178,-5
"Hisatsune, Ryo",PGA Tour,102,2,0.315,62,-1,64,-3
"Jarvis, Casey",DP World Tour,103,2,0.314,78,0,113,-1
"Neergaard-Petersen, Rasmus",PGA Tour,104,12,0.306,82,0,79,1
"McGreevy, Max",PGA Tour,105,1,0.306,99,-1,111,-2
"Castillo, Ricky",PGA Tour,106,3,0.296,93,4,105,3
"Howell III, Charles",LIV Golf,107,1,0.293,null,0,187,-5
"Olesen, Thorbjorn",PGA Tour,108,-10,0.29,130,-2,137,-4
"Brennan, Michael",PGA Tour,109,-19,0.269,60,-5,98,-1
"Moore, Taylor",PGA Tour,110,9,0.268,144,1,158,4
"Valimaki, Sami",PGA Tour,111,0,0.261,65,-1,72,-1
"Kaneko, Kota",DP World Tour,112,0,0.26,101,0,140,2
"Potgieter, Aldrich",PGA Tour,113,38,0.249,73,7,70,9
"Hojgaard, Rasmus",PGA Tour,114,0,0.24,76,-1,76,-1
"Ferguson, Ewen",DP World Tour,115,0,0.236,187,-5,205,-3
"Kirk, Chris",PGA Tour,116,-6,0.235,106,-2,117,0
"Munoz, Sebastian",LIV Golf,117,0,0.228,null,0,96,0
"Kuchar, Matt",PGA Tour,118,0,0.225,174,-3,182,-2
"Garcia, Sergio",LIV Golf,119,-18,0.219,166,-2,81,-3
"Echavarria, Nico",PGA Tour,120,3,0.207,52,-3,53,-1
"Fisk, Steven",PGA Tour,121,-26,0.207,118,0,131,-2
"Mouw, William",PGA Tour,122,24,0.198,131,7,144,6
"Rodgers, Patrick",PGA Tour,123,2,0.198,81,0,82,1
"Gooch, Talor",LIV Golf,124,2,0.193,346,-5,78,-1
"Schmid, Matti",PGA Tour,125,-5,0.19,71,-1,65,-3
"Zalatoris, Will",PGA Tour,126,1,0.184,395,-16,357,-11
"Yu, Kevin",PGA Tour,127,23,0.165,120,7,125,-1
"McKibbin, Tom",LIV Golf,128,1,0.162,137,-2,121,-1
"Armitage, Marcus",DP World Tour,129,1,0.161,154,-3,163,-4
"Dossey, Cooper",Korn Ferry Tour,130,1,0.153,230,3,211,2
"Olesen, Jacob Skov",DP World Tour,131,1,0.15,129,0,122,0
"Keefer, Johnny",PGA Tour,132,4,0.147,75,2,89,-1
"Snedeker, Brandt",PGA Tour,133,1,0.141,123,-1,136,-2
"Ortiz, Carlos",LIV Golf,134,4,0.134,188,-3,74,-1
"Cink, Stewart",PGA TOUR Champions,135,4,0.13,null,0,209,-3
"Hughes, Mackenzie",PGA Tour,136,-15,0.118,140,-7,151,-4
"Wiesberger, Bernd",DP World Tour,137,4,0.117,185,-1,217,-3
"Power, Seamus",PGA Tour,138,-1,0.114,192,-5,206,-5
"Horschel, Billy",PGA Tour,139,34,0.113,135,11,129,10
"James, Ben",Amateur Events,140,0,0.111,null,0,null,0
"Kohles, Ben",PGA Tour,141,22,0.105,184,7,184,7
"Ryder, Sam",PGA Tour,142,6,0.102,223,3,246,6
"Hossler, Beau",PGA Tour,143,6,0.099,156,4,167,2
"Dumont De Chassart, Adrien",PGA Tour,144,-16,0.098,168,-2,152,-1
"Li, Haotong",PGA Tour,145,-12,0.088,90,0,95,0
"Hill, Calum",DP World Tour,146,-3,0.085,146,-4,170,-4
"Suber, Jackson",PGA Tour,147,46,0.084,128,39,133,43
"Ewart, A.J.",PGA Tour,148,23,0.075,183,9,191,3
"Smotherman, Austin",PGA Tour,149,-14,0.073,95,-2,104,-1
"Lindberg, Mikael",DP World Tour,150,-6,0.069,132,-2,154,-1
"Penge, Marco",PGA Tour,151,1,0.041,48,-1,56,-1
"Rozner, Antoine",DP World Tour,152,1,0.039,198,-5,225,-2
"Watson, Bubba",LIV Golf,153,45,0.039,396,0,150,38
"Johnson, Zach",PGA Tour,154,15,0.029,409,-8,221,29
"Coussaud, Ugo",DP World Tour,155,0,0.028,217,-2,230,0
"Sherwood, Cole",Korn Ferry Tour,156,12,0.022,194,7,194,5
"Campillo, Jorge",DP World Tour,157,-1,0.019,165,-2,188,-7
"Parry, John",PGA Tour,158,-16,0.017,102,-3,114,0
"Nakajima, Keita",PGA Tour,159,31,0.01,134,2,155,6
"Eckroat, Austin",PGA Tour,160,-36,0.002,177,-2,186,-8
"Dou, Zecheng",PGA Tour,161,-14,-0.003,191,-2,200,-2
"Guerrier, Julien",DP World Tour,162,-2,-0.007,176,-3,189,-10
"Kanaya, Takumi",PGA Tour,163,26,-0.007,153,3,175,2
"Stout, Preston",Amateur Events,164,-3,-0.011,null,0,null,0
"Pieters, Thomas",LIV Golf,165,-3,-0.012,266,-4,146,-2
"Grillo, Emiliano",PGA Tour,166,29,-0.013,116,4,123,5
"Oosthuizen, Louis",LIV Golf,167,-3,-0.017,394,-13,193,-9
"Du Plessis, Hennie",DP World Tour,168,-3,-0.021,186,-3,208,-3
"Jaeger, Stephan",PGA Tour,169,-56,-0.025,97,-2,100,-1
"Hodges, Lee",PGA Tour,170,-16,-0.026,162,-8,169,-9
"Kimsey, Nathan",DP World Tour,171,-5,-0.032,214,-1,210,-2
"Ramey, Chad",PGA Tour,172,-27,-0.041,169,-1,174,-6
"Johnson, Michael",Korn Ferry Tour,173,-3,-0.045,257,3,236,2
"Pavon, Matthieu",PGA Tour,174,28,-0.047,258,21,300,28
"An, Byeong Hun",LIV Golf,175,-1,-0.048,182,-5,176,-5
"Kim, S.H.",Other Tours,176,-4,-0.051,152,-2,153,-1
"Svensson, Jesper",PGA Tour,177,42,-0.057,159,37,165,54
"Blair, Zac",PGA Tour,178,-3,-0.058,204,2,233,1
"Ballester, Jose Luis",LIV Golf,179,-3,-0.063,124,1,77,-1
"Whaley, Vince",PGA Tour,180,-21,-0.065,161,-2,168,-3
"Glover, Lucas",PGA Tour,181,-24,-0.069,107,-1,108,-3
"Ritchie, JC",DP World Tour,182,-5,-0.088,139,-2,224,0
"Fishburn, Patrick",PGA Tour,183,23,-0.1,199,6,215,5
"Hubbard, Mark",PGA Tour,184,-6,-0.101,121,-2,132,-2
"Couvra, Martin",DP World Tour,185,-6,-0.104,155,-2,173,-6
"Burgoon, Bronson",Korn Ferry Tour,186,-2,-0.115,323,-5,267,-3
"Bradbury, Dan",DP World Tour,187,-2,-0.117,144,-3,157,-3
"Laporta, Francesco",DP World Tour,188,-2,-0.117,202,-3,227,-2
"Higgo, Garrick",PGA Tour,189,-8,-0.119,98,-6,112,-2
"Casey, Paul",LIV Golf,190,-3,-0.121,null,0,214,-2
"Blanchet, Chandler",PGA Tour,191,-24,-0.121,112,-1,126,-3
"Roy, Kevin",PGA Tour,192,-34,-0.133,133,-2,135,-3
"Scott, Sandy",Korn Ferry Tour,193,-5,-0.133,295,-4,269,-3
"Shore, Davis",Korn Ferry Tour,194,7,-0.134,345,2,299,5
"Griffin, Lanto",PGA Tour,195,-13,-0.143,216,-2,216,-7
"Kim, Chan",PGA Tour,196,-5,-0.145,248,0,245,2
"Ventura, Kris",PGA Tour,197,-14,-0.146,304,-6,207,-3
"Pak, John",Korn Ferry Tour,198,-4,-0.164,213,5,231,2
"Brown, Dan",PGA Tour,199,-3,-0.171,119,-4,145,-2
"Lipsky, David",PGA Tour,200,-3,-0.176,105,-3,107,0
"VanArragon, Caleb",Korn Ferry Tour,201,-9,-0.18,264,-7,235,-6
"Simpson, Webb",PGA Tour,202,-3,-0.188,458,-8,423,-7
"Van Rooyen, Erik",PGA Tour,203,38,-0.192,178,2,203,13
"Redman, Doc",Korn Ferry Tour,204,-24,-0.195,127,-4,143,-8
"Young, Carson",PGA Tour,205,28,-0.195,179,0,185,8
"Ford, David",PGA Tour,206,-6,-0.196,290,-3,274,-3
"Ishikawa, Ryo",Korn Ferry Tour,207,44,-0.196,301,45,311,54
"Noh, S.Y.",Korn Ferry Tour,208,2,-0.228,329,-4,309,-2
"Eichhorn, Hunter",Korn Ferry Tour,209,46,-0.23,224,23,177,30
"Vaillant, Tom",DP World Tour,210,-5,-0.237,311,-8,349,-7
"Taylor, Ben",Korn Ferry Tour,211,2,-0.247,372,-9,337,-5
"Varner III, Harold",LIV Golf,212,-5,-0.26,486,-13,202,-2
"Saddier, Adrien",PGA Tour,213,-5,-0.26,115,-2,141,-3
"Song, Younghan",Other Tours,214,24,-0.264,328,9,314,3
"Hoge, Tom",PGA Tour,215,-6,-0.266,108,-1,101,-1
"Gilligan, Ian",Korn Ferry Tour,216,-13,-0.277,238,-3,196,-6
"Molinari, Francesco",DP World Tour,217,-6,-0.287,284,-3,291,4
"Skinns, David",PGA Tour,218,50,-0.297,269,14,307,20
"Garnett, Brice",PGA Tour,219,84,-0.299,236,132,234,127
"Docherty, Alistair",Korn Ferry Tour,220,-5,-0.306,193,1,197,0
"Jordan, Matthew",DP World Tour,221,-4,-0.309,281,-8,292,-9
"Svensson, Adam",PGA Tour,222,-10,-0.309,423,3,456,-11
"Smylie, Elvis",LIV Golf,223,42,-0.311,114,0,127,-1
"Pepperell, Eddie",DP World Tour,224,-6,-0.311,383,-8,387,-9
"Hadwin, Adam",PGA Tour,225,31,-0.319,252,13,273,8
"Kinoshita, Ryosuke",Other Tours,226,-6,-0.319,289,-4,302,-3
"Pavan, Andrea",DP World Tour,227,-6,-0.327,343,-9,361,-8
"Bryant, Davis",DP World Tour,228,-6,-0.327,160,-2,192,-6
"Vilips, Karl",PGA Tour,229,-13,-0.329,196,-8,201,-12
"Schwartzel, Charl",LIV Golf,230,-7,-0.33,null,0,249,-6
"Maas, Christiaan",Amateur Events,231,-17,-0.33,null,0,null,0
"Ding, Wenyi",DP World Tour,232,-7,-0.332,201,-1,232,-1
"Kobori, Kazuma",DP World Tour,233,-7,-0.333,206,-2,244,-5
"Van Driel, Darius",DP World Tour,234,-7,-0.333,225,-2,251,-3
"De Leo, Gregorio",DP World Tour,235,-5,-0.335,272,3,284,3
"Del Rey, Alejandro",DP World Tour,236,-5,-0.337,237,-3,277,-4
"Vegas, Jhonattan",PGA Tour,237,-3,-0.346,150,-6,156,-10
"Tringale, Cameron",LIV Golf,238,-6,-0.346,null,0,272,0
"Gouveia, Ricardo",DP World Tour,239,-2,-0.358,215,1,243,-3
"Steele, Brendan",LIV Golf,240,-1,-0.363,null,0,364,-5
"Canter, Laurie",LIV Golf,241,-1,-0.364,151,-3,160,-5
"Elvira Mijares, Ignacio",DP World Tour,242,0,-0.368,142,-2,139,1
"Cabrera Bello, Rafa",DP World Tour,243,0,-0.368,218,2,248,-2
"Forrest, Grant",DP World Tour,244,0,-0.37,195,3,242,-1
"Manassero, Matteo",DP World Tour,245,0,-0.372,314,-6,323,-9
"Dahmen, Joel",PGA Tour,246,-17,-0.374,207,-4,213,-2
"Ortiz, Alvaro",Korn Ferry Tour,247,29,-0.375,221,11,218,10
"Zhou, Yanhan",DP World Tour,248,-1,-0.38,211,1,264,4
"Robinson Thompson, Brandon",DP World Tour,249,-1,-0.389,255,-5,278,-4
"Crowe, Trace",Korn Ferry Tour,250,-15,-0.396,229,-4,172,-9
"Snyman, Ian",Other Tours,251,47,-0.402,279,20,332,20
"Menante, Dylan",Korn Ferry Tour,252,-6,-0.404,225,-8,226,-4
"Peterson, Paul",PGA Tour,253,-17,-0.406,243,-3,263,-4
"Surratt, Caleb",LIV Golf,254,-2,-0.411,287,-7,190,-7
"Buckley, Hayden",Korn Ferry Tour,255,47,-0.414,460,32,410,50
"Lawrence, Thriston",DP World Tour,256,-3,-0.418,149,-2,159,-2
"Phillips, Chandler",PGA Tour,257,65,-0.422,172,6,180,15
"Shipley, Neal",PGA Tour,258,13,-0.423,190,0,223,-5
"Wu, Dylan",PGA Tour,259,23,-0.423,386,9,370,4
"Dean, Joe",DP World Tour,260,-3,-0.437,278,-6,326,-11
"Springer, Hayden",PGA Tour,261,-33,-0.446,280,-6,199,-7
"Ravetto, David",DP World Tour,262,-3,-0.449,392,-10,412,-6
"Sigg, Greyson",PGA Tour,263,-3,-0.45,326,-5,334,-5
"Galletti, Nicolo",Korn Ferry Tour,264,55,-0.45,310,19,276,27
"Lee, Richard",LIV Golf,265,-61,-0.451,189,-3,212,-2
"Holt, Ian",Korn Ferry Tour,266,-42,-0.453,147,-4,164,-8
"Lebioda, Hank",PGA Tour,267,-13,-0.458,235,-6,228,-7
"Hammer, Cole",Korn Ferry Tour,268,-7,-0.462,363,-4,330,-4
"Elvira, Manuel",DP World Tour,269,-7,-0.466,291,-5,329,-10
"Clanton, Luke",PGA Tour,270,7,-0.467,247,2,279,-9
"Sullivan, Andy",DP World Tour,271,-8,-0.467,122,-1,130,-5
"Yonezawa, Ren",Other Tours,272,-6,-0.47,233,-2,270,-5
"Gonzalez, Emilio",Korn Ferry Tour,273,-6,-0.471,200,2,222,4
"Meissner, Mitchell",Korn Ferry Tour,274,-25,-0.477,282,-4,260,-3
"Phillips, Trent",Korn Ferry Tour,275,-25,-0.479,288,-6,261,-1
"Semikawa, Taiga",Other Tours,276,-7,-0.483,322,-9,345,-7
"Bramlett, Joseph",Korn Ferry Tour,277,-4,-0.485,317,-7,301,-9
"Silverman, Ben",PGA Tour,278,13,-0.487,262,1,294,-14
"Lamb, Davis",Korn Ferry Tour,279,-15,-0.492,158,-1,198,-2
"Ponder, Thomas",Other Tours,280,19,-0.492,483,6,392,17
"Daffue, MJ",DP World Tour,281,-11,-0.496,220,2,290,-2
"Lahiri, Anirban",LIV Golf,282,-24,-0.508,null,0,252,-10
"Steinlechner, Maximilian",DP World Tour,283,-5,-0.52,228,-4,289,-3
"Otaegui, Adrian",DP World Tour,284,-5,-0.521,246,-3,282,-3
"Smyth, Trav",Other Tours,285,20,-0.522,143,-4,204,-1
"Russell, Miles",Amateur Events,286,-6,-0.522,null,0,null,0
"Waring, Paul",DP World Tour,287,-4,-0.526,330,-19,318,-12
"Luiten, Joost",DP World Tour,288,-4,-0.526,222,-1,254,-3
"Kokrak, Jason",LIV Golf,289,-4,-0.529,null,0,296,-12
"Johnston, Andrew",DP World Tour,290,-4,-0.533,null,0,null,0
"Scrivener, Jason",DP World Tour,291,-4,-0.54,341,-9,368,-10
"Akina, Kihei",Amateur Events,292,-4,-0.541,null,0,null,0
"Stone, Brandon",DP World Tour,293,-4,-0.542,387,-11,403,-11
"Van Tonder, Daniel",DP World Tour,294,-4,-0.544,231,-4,266,-5
"Gomez, Fabian",Korn Ferry Tour,295,28,-0.547,430,12,375,14
"Migliozzi, Guido",DP World Tour,296,-4,-0.551,250,-5,275,-6
"Vincent, Kieran",Other Tours,297,55,-0.552,334,31,378,30
"Reavie, Chez",Korn Ferry Tour,298,20,-0.555,null,0,null,0
"Carr, Ben",Korn Ferry Tour,299,85,-0.562,306,160,255,107
"Uihlein, Peter",LIV Golf,300,-6,-0.562,181,-5,179,-9
"Norris, Shaun",DP World Tour,301,-5,-0.563,86,-1,119,0
"Morrison, Tommy",Amateur Events,302,52,-0.576,null,0,null,0
"Halvorsen, Andreas",DP World Tour,303,-2,-0.581,404,0,427,-1
"Hosono, Yusaku",Other Tours,304,0,-0.594,300,0,335,-4
"Wang, Jeunghun",Other Tours,305,-10,-0.597,362,-11,386,-9
"Sterne, Richard",DP World Tour,306,0,-0.605,117,-1,138,-2
"Bland, Richard",LIV Golf,307,1,-0.61,null,0,237,-2
"Lamb, Rick",Korn Ferry Tour,308,-36,-0.613,432,-20,390,-19
"Aphibarnrat, Kiradech",DP World Tour,309,3,-0.617,351,-9,391,-7
"Gandon, Jeremy",Korn Ferry Tour,310,-36,-0.621,180,-6,183,-9
"Nicholas, James",Korn Ferry Tour,311,34,-0.622,286,3,293,1
"McAllister, Logan",Korn Ferry Tour,312,39,-0.622,240,1,241,3
"Schneider, Marcel",DP World Tour,313,1,-0.625,298,-5,324,-11
"Nyholm, Pontus",PGA Tour,314,-33,-0.627,263,-5,257,-1
"Mun, Doyeob",Other Tours,315,-2,-0.63,205,3,321,-1
"Streelman, Kevin",PGA Tour,316,-1,-0.632,415,-7,436,-13
"Goodwin, Noah",Korn Ferry Tour,317,-7,-0.632,355,-10,355,-10
"Clements, Todd",DP World Tour,318,-2,-0.632,267,-7,281,-6
"Stanger, Jimmy",PGA Tour,319,105,-0.634,338,0,283,0
"Kruyswijk, Jacques",DP World Tour,320,-3,-0.641,234,-4,285,-8
"Sato, Taihei",Other Tours,321,-1,-0.646,403,-5,409,-5
"Prinsloo, Jaco",Other Tours,322,-15,-0.651,null,0,null,0
"Mansell, Richard",DP World Tour,323,1,-0.657,239,-2,253,1
"Salinda, Isaiah",PGA Tour,324,1,-0.659,292,0,297,-8
"Katsuragawa, Yuto",DP World Tour,325,1,-0.66,376,-5,414,-9
"Guillamoundeguy, Oihan",DP World Tour,326,1,-0.668,274,-3,331,-9
"LaCroix, Frederic",DP World Tour,327,1,-0.668,265,-10,312,-14
"Truslow, Austen",Other Tours,328,1,-0.668,375,-5,402,-7
"Janewattananond, Jazz",Other Tours,329,76,-0.668,340,65,353,71
"Schmidt, Ben",DP World Tour,330,0,-0.671,332,-10,354,-7
"Kaymer, Martin",LIV Golf,331,0,-0.674,null,0,413,7
"Kim, Anthony",LIV Golf,332,0,-0.675,197,-2,148,0
"Langasque, Romain",DP World Tour,333,0,-0.68,344,-9,400,-10
"Andersen, Mason",Korn Ferry Tour,334,1,-0.684,451,-5,438,-1
"Kang, Jeffrey",PGA Tour,335,1,-0.685,256,3,247,2
"Montgomery, Taylor",Korn Ferry Tour,336,-36,-0.686,227,-8,229,-2
"Soderberg, Sebastian",DP World Tour,337,1,-0.687,294,-4,316,-8
"Jakubcik, Filip",Amateur Events,338,29,-0.687,null,0,null,0
"Botha, Barend",Korn Ferry Tour,339,33,-0.689,308,-6,295,-4
"Sloan, Roger",Korn Ferry Tour,340,3,-0.691,414,-12,433,-16
"Ereno Perez, Pablo",Challenge Tour,341,-2,-0.692,324,-5,363,0
"Sugiura, Yuta",Korn Ferry Tour,342,31,-0.694,307,0,338,2
"Sides, William",Amateur Events,343,42,-0.696,null,0,null,0
"Norgaard, Niklas",DP World Tour,344,-2,-0.707,275,-5,288,-6
"Steelman, Ross",Korn Ferry Tour,345,-70,-0.709,254,-2,240,-3
"Suh, Justin",Korn Ferry Tour,346,51,-0.71,398,2,377,9
"Levy, Alexander",DP World Tour,347,-1,-0.712,482,-6,496,-4
"Imahira, Shugo",Other Tours,348,-1,-0.714,348,-12,374,-8
"Cone, Trevor",Korn Ferry Tour,349,-15,-0.714,313,-9,325,-13
"Poulter, Ian",LIV Golf,350,-1,-0.728,null,0,null,0
"Frittelli, Dylan",DP World Tour,351,-1,-0.732,450,-9,null,0
"Hitt, Austin",Korn Ferry Tour,352,42,-0.737,382,2,347,4
"Schott, Freddy",DP World Tour,353,2,-0.743,209,-2,239,-3
"Chatfield, Davis",PGA Tour,354,-6,-0.747,321,-12,310,-13
"Willett, Danny",PGA Tour,355,8,-0.747,385,-16,452,-11
"Kaewkanjana, Sadom",DP World Tour,356,13,-0.749,335,-11,394,-3
"Hirata, Kensei",PGA Tour,357,-20,-0.749,276,-12,306,-16
