player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA Tour,1,0,1,0,3.073
"Rahm, Jon",LIV Golf,2,1,59,18,2.042
"DeChambeau, Bryson",LIV Golf,3,-1,13,-3,1.947
"McIlroy, Rory",PGA Tour,4,0,2,0,1.808
"Schauffele, Xander",PGA Tour,5,4,3,0,1.68
"Morikawa, Collin",PGA Tour,6,2,4,0,1.65
"Niemann, Joaquin",LIV Golf,7,-2,80,-1,1.612
"Fleetwood, Tommy",PGA Tour,8,-1,17,-4,1.602
"Thomas, Justin",PGA Tour,9,-3,5,0,1.556
"Henley, Russell",PGA Tour,10,4,6,1,1.502
"Burns, Sam",PGA Tour,11,4,19,3,1.48
"Straka, Sepp",PGA Tour,12,-2,7,1,1.457
"Hatton, Tyrrell",LIV Golf,13,5,18,6,1.456
"Griffin, Ben",PGA Tour,14,2,15,0,1.455
"Cantlay, Patrick",PGA Tour,15,-4,20,-4,1.421
"Conners, Corey",PGA Tour,16,-3,24,-3,1.405
"Bradley, Keegan",PGA Tour,17,0,21,-3,1.35
"Spaun, J.J.",PGA Tour,18,7,8,17,1.337
"Hovland, Viktor",PGA Tour,19,4,9,5,1.304
"MacIntyre, Robert",PGA Tour,20,8,12,8,1.273
"Matsuyama, Hideki",PGA Tour,21,-2,11,-2,1.228
"Spieth, Jordan",PGA Tour,22,0,44,3,1.177
"Lowry, Shane",PGA Tour,23,-11,16,-4,1.16
"Aberg, Ludvig",PGA Tour,24,-4,10,-4,1.117
"Kim, Si Woo",PGA Tour,25,-4,61,0,1.11
"McNealy, Maverick",PGA Tour,26,1,14,-3,1.08
"Berger, Daniel",PGA Tour,27,-1,29,0,1.025
"Ortiz, Carlos",LIV Golf,28,15,113,133,1.021
"Day, Jason",PGA Tour,29,8,38,1,0.99
"Poston, J.T.",PGA Tour,30,5,41,-1,0.988
"Rai, Aaron",PGA Tour,31,5,32,1,0.975
"Finau, Tony",PGA Tour,32,0,43,-2,0.97
"Pendrith, Taylor",PGA Tour,33,0,37,0,0.963
"Reed, Patrick",LIV Golf,34,4,55,4,0.962
"Taylor, Nick",PGA Tour,35,6,31,0,0.935
"Scott, Adam",PGA Tour,36,10,40,2,0.933
"Hall, Harry",PGA Tour,37,-7,84,-2,0.932
"Greyserman, Max",PGA Tour,38,4,46,2,0.932
"English, Harris",PGA Tour,39,-15,22,-5,0.924
"Fox, Ryan",PGA Tour,40,7,30,2,0.901
"McCarthy, Denny",PGA Tour,41,-12,45,-1,0.892
"Bhatia, Akshay",PGA Tour,42,-11,34,-4,0.871
"Young, Cameron",PGA Tour,43,22,39,17,0.843
"Stevens, Sam",PGA Tour,44,6,63,1,0.84
"Im, Sungjae",PGA Tour,45,-11,25,-2,0.835
"Noren, Alex",PGA Tour,46,-7,75,-1,0.833
"Mitchell, Keith",PGA Tour,47,-7,89,-2,0.82
"Novak, Andrew",PGA Tour,48,-3,35,1,0.81
"Kim, Michael",PGA Tour,49,-5,56,-2,0.78
"Fitzpatrick, Matt",PGA Tour,50,1,78,2,0.774
"Neergaard-Petersen, Rasmus",DP World Tour,51,16,83,8,0.76
"Gerard, Ryan",PGA Tour,52,-4,71,-1,0.74
"Olesen, Thorbjorn",PGA Tour,53,-4,86,-3,0.725
"Hoge, Tom",PGA Tour,54,-1,47,-1,0.671
"Horschel, Billy",PGA Tour,55,-1,26,0,0.665
"Cauley, Bud",PGA Tour,56,-4,60,-2,0.656
"Smalley, Alex",PGA Tour,57,-2,112,-1,0.654
"Munoz, Sebastian",LIV Golf,58,-2,null,0,0.651
"Bezuidenhout, Christiaan",PGA Tour,59,21,64,5,0.65
"Yu, Kevin",PGA Tour,60,-3,65,-3,0.644
"Herbert, Lucas",LIV Golf,61,-3,178,1,0.633
"Puig, David",LIV Golf,62,-3,124,-1,0.627
"Hughes, Mackenzie",PGA Tour,63,-3,50,0,0.624
"Fowler, Rickie",PGA Tour,64,-2,107,1,0.61
